,fluxes,kcat,MW,kcat_MW,equ
EX_glyc_e,0.0,,,,glyc_e --> 
EX_man_e,0.0,,,,man_e --> 
EX_mn2_e,0.0,,,,mn2_e --> 
EX_rib__D_e,0.0,,,,rib__D_e --> 
EX_sbt__D_e,0.0,,,,sbt__D_e --> 
ECOAH6_num1,0.0,36593.980489999994,77.0722,474.8012966,3htdcoa_c --> h2o_c + td2coa_c
ENO,16.086173780445137,828000.0,91.3099,9068.020007,2pg_c --> h2o_c + pep_c
FBA_num1,8.130610790222347,313200.0,78.2945,4000.2809899999997,fdp_c --> dhap_c + g3p_c
MGSA,0.0,10091.64245,101.5115,99.41378514,dhap_c --> mthgxl_c + pi_c
PPS,0.0,370888.9427,174.8702,2120.938517,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
PGI,8.015759590221442,41112000.0,123.0595,334082.2935,g6p_c --> f6p_c
PGK,0.0,81612.68645,41.1182,1984.8312050000002,3pg_c + atp_c --> 13dpg_c + adp_c
EDA,0.0,44337.53138,66.8521,663.2182292,2ddg6p_c --> g3p_c + pyr_c
PGL,0.345914800001366,662400.0,36.3076,18244.11418,6pgl_c + h2o_c --> 6pgc_c + h_c
RPE,0.12430000000090521,198533.1876,24.5542,8085.508287999999,ru5p__D_c --> xu5p__D_c
TALA_num1,0.0,49937.71597,70.4385,708.9548467,g3p_c + s7p_c --> e4p_c + f6p_c
TKT1_num1,0.0,182904.1236,144.4235,1266.442951,r5p_c + xu5p__D_c --> g3p_c + s7p_c
G6PDA,0.0,151224.2552,178.6452,846.5061205,gam6p_c + h2o_c --> f6p_c + nh4_c
ALCD2x_num1,0.0,65388.1289,3845.0896,17.00561904,etoh_c + nad_c --> acald_c + h_c + nadh_c
ALDD2y_num1,0.0,22093.1682,29.4102,751.207683,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
RMI,0.0,34888.97517,188.7978,184.795454,rmn_c --> rml_c
EX_ura_e,0.0,,,,ura_e --> 
EX_val__L_e,0.0,,,,val__L_e --> 
EX_xan_e,0.0,,,,xan_e --> 
FMNAT,2.2300000000000007e-05,324.0,34.7343,9.327955364,atp_c + fmn_c + h_c --> fad_c + ppi_c
NADDP_num1,0.0,10638.00544,59.3779,179.157657,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
NMNAT_num1,0.0,9306.715666,189.3833,49.14221933,atp_c + h_c + nmn_c --> nad_c + ppi_c
HMPK1_num1,0.0,15927.764809999999,114.5344,139.0653359,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c
NDPK6_num1,0.0026166,9855.575546,23.586,417.8570146,atp_c + dudp_c --> adp_c + dutp_c
NDPK8_num1,0.0,15171.87038,23.586,643.257457,atp_c + dadp_c --> adp_c + datp_c
PYNP2r,0.0,44972.730110000004,162.9545,275.983358,pi_c + uri_c --> r1p_c + ura_c
DURIPP_num1,0.0,31920.232389999997,94.4142,338.0871986,duri_c + pi_c --> 2dr1p_c + ura_c
PTRCTA,0.0,36125.7943,99.3227,363.7214282,akg_c + ptrc_c --> 4abutn_c + glu__L_c
CYSDS_num1,0.0,13182.37802,172.8495,76.26506308,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
TRPAS2,0.0,23909.43164,211.0938,113.2644902,h2o_c + trp__L_c --> indole_c + nh4_c + pyr_c
NDP3_num1,0.0,34101.47047,17.4329,1956.155916,gdp_c + h2o_c --> gmp_c + h_c + pi_c
CDPPH,0.0,28855.36431,35.3527,816.2138765,cdp_c + h2o_c --> cmp_c + h_c + pi_c
NDP7,0.0,33721.60938,35.3527,953.8623466,h2o_c + udp_c --> h_c + pi_c + ump_c
EX_co2_e,0.7379213000013378,,,,co2_e --> 
PMDPHT_num1,0.0,9471.620437,30.1962,313.6692841,5aprbu_c + h2o_c --> 4r5au_c + pi_c
ILETA,0.0,22229.68578,204.5619,108.66972679999999,akg_c + ile__L_c --> 3mop_c + glu__L_c
VALTA,0.0,9473.113026,204.5619,46.30927375,akg_c + val__L_c --> 3mob_c + glu__L_c
ORPT,0.0,11843.91592,47.13399999999999,251.2817906,orot5p_c + ppi_c --> orot_c + prpp_c
RBFSa,8.920000000000001e-05,7200.0,969.3906,7.427346624,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
DHAD2,0.0290529,500400.0,131.0631,3818.008272,23dhmp_c --> 3mop_c + h2o_c
G1PP_num1,0.0,9921.660322,22.7318,436.4661101,g1p_c + h2o_c --> glc__D_c + pi_c
PFL_num1,0.0,66265.40938,118.3894,559.7241762,coa_c + pyr_c --> accoa_c + for_c
FRD2,0.0,39705.41401,121.2166,327.55756230000003,fum_c + mql8_c --> mqn8_c + succ_c
FRD3,0.0,40135.54568,121.2166,331.1060175,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
POX,0.0,11451.84521,248.0455,46.16832479999999,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
PTAr_num1,0.0,547821.7643,463.0325,1183.117307,accoa_c + pi_c --> actp_c + coa_c
ACKr_num1,0.05821859999999997,168823.2518,42.4337,3978.518296,ac_c + atp_c --> actp_c + adp_c
EX_hxan_e,0.0,,,,hxan_e --> 
EX_ile__L_e,0.0,,,,ile__L_e --> 
EX_lac__L_e,0.0,,,,lac__L_e --> 
EX_leu__L_e,0.0,,,,leu__L_e --> 
EX_no3_e,0.0,,,,no3_e --> 
EX_orn_e,0.0,,,,orn_e --> 
EX_pro__L_e,0.0,,,,pro__L_e --> 
EX_pyr_e,14.711703980445128,,,,pyr_e --> 
EX_succ_e,0.033069699999999994,,,,succ_e --> 
EX_thymd_e,0.0,,,,thymd_e --> 
EX_tyr__L_e,0.0,,,,tyr__L_e --> 
MOAT,0.0019456000000000002,212400.0,47.2911,4491.33135,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c
UDCPDPS,5.500000000000651e-06,504.0,56.8883,8.859466709,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
USHD,0.0019456000000000002,20475.119430000002,26.8942,761.3210071000001,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c
LPADSS,0.0019456000000000002,187200.0,84.7649,2208.4612850000003,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
TDSK,0.0019456000000000002,26884.71438,35.5893,755.4156552999999,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c
EX_btn_e,0.0,,,,btn_e --> 
EX_ptrc_e,0.0,,,,ptrc_e --> 
EX_spmd_e,0.0,,,,spmd_e --> 
EX_thym_e,0.0,,,,thym_e --> 
EX_xtsn_e,0.0,,,,xtsn_e --> 
NTPP1_num1,0.0,29218.073669999998,14.9271,1957.384467,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c
NTPP2_num1,0.0,10172.32877,14.9271,681.4671818,gtp_c + h2o_c --> gmp_c + h_c + ppi_c
NTPTP1,0.0,28199.90188,356.2976,79.14704416,dgtp_c + h2o_c --> dgsn_c + pppi_c
NTPTP2,0.0,58754.90664,356.2976,164.9040202,gtp_c + h2o_c --> gsn_c + pppi_c
IPMD_num1,0.0,17640.0,79.03399999999999,223.19508059999998,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
AIRC3,0.0,11996.22974,142.2426,84.33640653,5aizc_c --> 5caiz_c
ADSL2r,0.04477940000000698,54000.0,206.1712,261.9182505,25aics_c --> aicar_c + fum_c
EX_fe2_e,0.0,,,,fe2_e --> 
PUNP5_num1,0.0,18776.87584,179.0077,104.8942355,ins_c + pi_c --> hxan_c + r1p_c
PUNP6_num1,0.0,19606.602909999998,155.6995,125.92592079999999,din_c + pi_c --> 2dr1p_c + hxan_c
PUNP7,0.0,19138.3919,179.0077,106.91379140000001,pi_c + xtsn_c --> r1p_c + xan_c
RNDR1_num1,0.0,9882.905270000001,274.1399,36.05059048,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
RNDR3_num1,0.0,12566.47479,270.3917,46.47507594,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c
RNDR4_num1,0.0,10859.48639,270.3917,40.16205523,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
TMDS,0.0026166,26640.0,60.9594,437.0121753,dump_c + mlthf_c --> dhf_c + dtmp_c
TMDK1,0.0,9983.48333,23.4566,425.6151075,atp_c + thymd_c --> adp_c + dtmp_c + h_c
PPCDC,6.739999999996749e-05,540.0,521.2577,1.03595592,4ppcys_c + h_c --> co2_c + pan4p_c
FTHFD,0.0,11273.54495,191.6083,58.83641236,10fthf_c + h2o_c --> for_c + h_c + thf_c
EX_glc__D_e,-20.602440637460894,,,,glc__D_e <=> 
EDD,0.0,48328.78694,64.639,747.6722557999999,6pgc_c --> 2ddg6p_c + h2o_c
DHQTi,0.12430000000000002,212400.0,54.9333,3866.507201,3dhq_c --> 3dhsk_c + h2o_c
PUNP1,0.0,17754.490680000003,155.6995,114.0304926,adn_c + pi_c --> ade_c + r1p_c
PUNP2,0.0,16381.18715,155.6995,105.2102746,dad_2_c + pi_c --> 2dr1p_c + ade_c
PUNP3_num1,0.0,16041.29791,179.0077,89.61233461,gsn_c + pi_c --> gua_c + r1p_c
LYSAM,0.0,26321.80499,38.7496,679.2793988,lys__L_c --> 36dahx_c
DHAD1,0.08743669999999998,1512000.0,131.0631,11536.42787,23dhmb_c --> 3mob_c + h2o_c
IPPMIa,0.0,11963.94288,72.3693,165.31793009999998,3c2hmp_c --> 2ippm_c + h2o_c
EX_alltn_e,0.0,,,,alltn_e --> 
G3PD7,0.0,97058.71558999999,148.4235,653.9309178999999,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
NADH9_num1,0.0,10293.426459999999,40.34,255.16674419999998,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c
NADH10_num1,0.0,21675.04155,40.34,537.308913,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
MDH,0.0,25920.0,64.6746,400.775575,mal__L_c + nad_c --> h_c + nadh_c + oaa_c
FUM_num1,0.00016259999999977773,104334.9147,120.2106,867.9343976,fum_c + h2o_c --> mal__L_c
PYDXNK,0.0,9300.850736,61.6948,150.75582930000002,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
PYAM5PO,0.0,9300.846143,51.0903,182.0472016,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c
OHPBAT,0.0,3.6,79.5666,0.045245115,glu__L_c + ohpb_c --> akg_c + phthr_c
EX_dgsn_e,0.0,,,,dgsn_e --> 
EX_arab__L_e,0.0,,,,arab__L_e --> 
EX_fru_e,0.0,,,,fru_e --> 
EX_gal_e,0.0,,,,gal_e --> 
EX_xyl__D_e,0.0,,,,xyl__D_e --> 
EX_duri_e,0.0,,,,duri_e --> 
EX_for_e,0.0,,,,for_e --> 
EX_gly_e,0.0,,,,gly_e --> 
EX_h2_e,0.0,,,,h2_e --> 
EX_lys__L_e,0.0,,,,lys__L_e --> 
EX_ser__L_e,0.0,,,,ser__L_e --> 
EX_thm_e,0.0,,,,thm_e --> 
EX_trp__L_e,0.0,,,,trp__L_e --> 
GLUTRR,0.0003568,9680.98199,92.6136,104.5308895,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLCS1,0.0,12943.08398,52.8224,245.0302141,adpglc_c --> adp_c + glycogen_c + h_c
GLCP_num1,0.0,26911.79951,186.3451,144.4191423,glycogen_c + pi_c --> g1p_c
EX_din_e,0.0,,,,din_e --> 
EX_fmn_e,0.0,,,,fmn_e --> 
EX_gthox_e,0.0,,,,gthox_e --> 
HEMEOS,0.0,10296.6826,32.2485,319.2918306,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
ADMDC,0.0,99039.6036,30.3846,3259.5329079999997,amet_c + h_c --> ametam_c + co2_c
AGMT,0.0,34948.097239999996,67.1141,520.726602,agm_c + h2o_c --> ptrc_c + urea_c
ARGDC,0.0,10396.28729,844.2524,12.31419335,arg__L_c + h_c --> agm_c + co2_c
ARGSS,0.0295792,10080.0,199.5936,50.50262133,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
AGPR,0.0,27140.71295,35.9521,754.9131468999999,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c
SPMS,0.0,20729.78166,64.6428,320.68198870000003,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
G1SAT,0.0003568,324.0,90.7322,3.570948351,glu1sa_c --> 5aop_c
KDOCT2,0.003891200000000001,15120.0,27.6144,547.5404137,ctp_c + kdo_c --> ckdo_c + ppi_c
OAADC,0.0,17454.564169999998,66.8521,261.0922345,h_c + oaa_c --> co2_c + pyr_c
MNNH,0.0,54841.495429999995,44.838,1223.103069,mana_c --> 2ddglcn_c + h2o_c
ALTRH,0.0,69858.52128,54.0931,1291.449765,altrn_c --> 2ddglcn_c + h2o_c
GUI1,0.0,86159.1663,53.9872,1595.918408,glcur_c --> fruur_c
PGAMT,0.0,36035.4739,47.5436,757.9458413,gam1p_c --> gam6p_c
UAGDP,0.009448799999999999,57600.0,147.5702,390.32270739999996,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
UAGCVT,0.002778799999999998,11880.0,44.8176,265.074435,pep_c + uacgam_c --> pi_c + uaccg_c
GLUR,0.0,88419.50993,31.002,2852.058252,glu__D_c --> glu__L_c
UAG2E,0.0,57209.157139999996,84.4892,677.1179883,uacgam_c --> uacmam_c
EX_acald_e,0.0,,,,acald_e --> 
EX_melib_e,0.0,,,,melib_e --> 
MACPD,0.0,17858.85608,85.2266,209.54556540000002,h_c + malACP_c --> acACP_c + co2_c
DMQMT,0.0,22755.67142,53.1109,428.4557675,2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c
ICHORS_copy1,0.0,50074.22462,42.9316,1166.3721970000001,chor_c --> ichor_c
EX_sucr_e,0.0,,,,sucr_e --> 
EX_tre_e,0.0,,,,tre_e --> 
EX_zn2_e,0.0,,,,zn2_e --> 
HACD5_num1,0.0,40209.19967,159.1878,252.5897064,3oddcoa_c + h_c + nadh_c --> 3hddcoa_c + nad_c
DNMPPA,6.690000000000575e-05,,,,dhpmp_c + h2o_c --> dhnpt_c + pi_c
HPPK2,6.690000000000575e-05,576.0,18.0788,31.86052172,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c
PTPATi,6.739999999996749e-05,1980.0,107.0198,18.5012493,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c
HEX7,0.0,31530.95853,32.4998,970.1893097999999,atp_c + fru_c --> adp_c + f6p_c + h_c
DXPRIi,0.00023890000000000716,11880.0,86.77600000000001,136.9042131,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c
OPHBDC,2.23e-05,9504.978952,333.6225,28.49022159,3ophb_c + h_c --> 2oph_c + co2_c
OHPHM,0.0,24071.53907,53.1109,453.23161669999996,2ohph_c + amet_c --> 2omph_c + ahcys_c + h_c
GHMT2r,0.10608780000000699,3596400.0,90.6332,39680.82336,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c
DHORD2,0.0,72000.0,36.7745,1957.8784210000001,dhor__S_c + q8_c --> orot_c + q8h2_c
ADK4,0.0,9420.738358,23.586,399.4207733,amp_c + itp_c --> adp_c + idp_c
INSK,0.0,38426.53993,96.8976,396.56854169999997,atp_c + ins_c --> adp_c + h_c + imp_c
ABTA_num1,0.0,33853.97349,91.5493,369.7895395,4abut_c + akg_c --> glu__L_c + sucsal_c
SSALx,0.0,21752.970019999997,99.4357,218.76418650000002,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c
ASPT,0.0,20574.12224,209.4245,98.24123844,asp__L_c --> fum_c + nh4_c
SERD_L_num1,0.0,78829.0727,211.0938,373.4314921,ser__L_c --> nh4_c + pyr_c
THRD_num1,0.0,74588.90951,148.9562,500.74390669999997,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c
HEX4,0.0,,,,atp_c + man_c --> adp_c + h_c + man6p_c
KARA1,0.0,15966.4598,216.2761,73.82442998,23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c
KARA2,0.0290529,281880.0,216.2761,1303.334025,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
ACCOAC,0.24133419999999994,132480.0,252.4556,524.7655428999999,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
NADK,4.4700000000230666e-05,3960.0,195.3983,20.266297100000003,atp_c + nad_c --> adp_c + h_c + nadp_c
ICHORS_copy2,0.0,24753.81242,97.5291,253.80950319999997,chor_c --> ichor_c
SUCBZS,0.0,25537.98661,35.4766,719.8544001,2shchc_c --> h2o_c + sucbz_c
DHBD,0.0,14589.980730000001,104.9986,138.9540501,23ddhb_c + nad_c --> 23dhb_c + h_c + nadh_c
ICHORT,0.0,13917.92539,32.5543,427.52955489999994,h2o_c + ichor_c --> 23ddhb_c + pyr_c
RBK_L1,0.0,26478.88451,122.1788,216.72241430000003,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c
RBP4E_num1,0.0,84320.75084,25.2777,3335.776231,ru5p__L_c --> xu5p__D_c
NTD2_num1,0.0,9722.766341,25.3006,384.28995130000004,h2o_c + ump_c --> pi_c + uri_c
NTD4_num1,0.0,25068.67115,26.9004,931.9070032,cmp_c + h2o_c --> cytd_c + pi_c
NTD5_num1,0.0,10199.23647,45.4161,224.5731463,dtmp_c + h2o_c --> pi_c + thymd_c
NTD6_num1,0.0,14096.05511,45.4161,310.37572819999997,damp_c + h2o_c --> dad_2_c + pi_c
LGTHL,0.0,9557.43858,29.8397,320.29271669999997,gthrd_c + mthgxl_c --> lgt__S_c
PYDXPP_num1,0.0,29369.903639999997,30.2013,972.4715042000001,h2o_c + pydx5p_c --> pi_c + pydx_c
PDXPP,0.0,22698.00031,30.2013,751.5570624,h2o_c + pdx5p_c --> pi_c + pydxn_c
HACD6_num1,0.0,31487.30375,159.1878,197.7997293,3otdcoa_c + h_c + nadh_c --> 3htdcoa_c + nad_c
ECOAH1_num1,0.0,43149.26455,77.0722,559.855104,3hbcoa_c --> b2coa_c + h2o_c
ECOAH2_num1,0.0,48500.51292,77.0722,629.2867327,3hhcoa_c --> h2o_c + hx2coa_c
ECOAH3_num1,0.0,44125.78766,77.0722,572.525342,3hocoa_c --> h2o_c + oc2coa_c
UGLT,0.0,67891.37389,79.2914,856.2261972000001,gal1p_c + udpg_c --> g1p_c + udpgal_c
DXPS,0.00028350000000000716,3960.0,135.2339,29.28259852,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c
CDPMEK,0.00023890000000000716,4680.0,61.8507,75.66607977,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c
MECDPS,0.00023890000000000716,324.0,50.6926,6.391465421,2p4c2me_c --> 2mecdp_c + cmp_c
