,fluxes,kcat,MW,kcat_MW,enz,equ
3OAR140,0.0205452,4680,102.2412,45.77411063,0.000448839,3omrsACP_c + h_c + nadph_c --> 3hmrsACP_c + nadp_c
HCO3E_num2,0.2861136,32760,47.5285,689.2706481,0.000415096,co2_c + h2o_c --> h_c + hco3_c
TKT1_reverse_num2,0.117210128,21768.90264,73.0427,298.0298187,0.000393283,g3p_c + s7p_c --> r5p_c + xu5p__D_c
3OAR80,0.035588,9300.033619,102.2412,90.96170251,0.000391242,3ooctACP_c + h_c + nadph_c --> 3hoctACP_c + nadp_c
3OAR100,0.035588,9300.038342,102.2412,90.96174871,0.000391241,3odecACP_c + h_c + nadph_c --> 3hdecACP_c + nadp_c
ASAD_reverse,0.1069076,22680,80.0358,283.3731905,0.000377268,4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c
ASPTA_reverse_num2,0.2927823,75600,87.0756,868.2110718,0.000337225,glu__L_c + oaa_c --> akg_c + asp__L_c
3OAS80_num1,0.035588,9300.057325,85.2266,109.1215339,0.000326132,h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c
3OAS100_num1,0.035588,9300.069292,85.2266,109.1216744,0.000326131,h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c
PFK_num2,4.972744932,1000800,64.912,15417.7964,0.000322533,atp_c + f6p_c --> adp_c + fdp_c + h_c
3OAR40,0.035588,11866.89778,102.2412,116.0676692,0.000306614,actACP_c + h_c + nadph_c --> 3haACP_c + nadp_c
CS,0.1075192,104400,288.0899,362.3868799,0.000296697,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
PRASCSi,0.0447794,12600,80.985,155.5843675,0.000287814,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c
EAR60y,0.035588,14300.64672,111.4558,128.3077841,0.000277364,h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c
SULR,0.0247482,71599.20646,786.1512,91.0756181,0.000271732,5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c
ILETA_reverse,0.0290529,21960,204.5619,107.3513689,0.000270634,3mop_c + glu__L_c --> akg_c + ile__L_c
EAR80x,0.035588,14706.89696,111.4558,131.9527289,0.000269703,h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c
SUCOAS,0.0524958,28613.05984,142.3403,201.0186844,0.000261149,atp_c + coa_c + succ_c --> adp_c + pi_c + succoa_c
ACONTa_num1,0.1075192,77882.09375,186.9962,416.4902482,0.000258155,cit_c --> acon_C_c + h2o_c
OPMEACPD,2.00E-07,0.0792,102.1977,0.000774969,0.000258075,hpmeACP_c --> epmeACP_c + h2o_c
OGMEACPD,2.00E-07,0.0792,102.1977,0.000774969,0.000258075,hgmeACP_c --> egmeACP_c + h2o_c
THDPS,0.0370949,8640,59.7842,144.5197895,0.000256677,h2o_c + succoa_c + thdp_c --> coa_c + sl2a6o_c
ICDHyr,0.1075192,39600,91.5134,432.7235137,0.000248471,icit_c + nadp_c --> akg_c + co2_c + nadph_c
3OAR60,0.035588,14676.62331,102.2412,143.5490126,0.000247915,3ohexACP_c + h_c + nadph_c --> 3hhexACP_c + nadp_c
TALA_reverse_num2,0.117210128,17007.88862,35.6588,476.9618894,0.000245743,e4p_c + f6p_c --> g3p_c + s7p_c
ADSS,0.0299304,11880,94.6899,125.4621665,0.000238561,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c
3OAR120,0.0205452,9300.029854,102.2412,90.96166569,0.000225867,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c
3OAS60_num2,0.035588,14210.82631,85.2266,166.7416782,0.000213432,butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c
EPMEACPR,2.00E-07,0.108,111.4558,0.000968994,0.0002064,epmeACP_c + h_c + nadph_c --> nadp_c + pmeACP_c
EGMEACPR,2.00E-07,0.108,111.4558,0.000968994,0.0002064,egmeACP_c + h_c + nadph_c --> gmeACP_c + nadp_c
OPMEACPS,2.00E-07,0.0864,85.2266,0.001013768,0.000197284,gmeACP_c + h_c + malACP_c --> ACP_c + co2_c + opmeACP_c
ACONTb_num1,0.1075192,102219.9572,186.9962,546.6418954,0.00019669,acon_C_c + h2o_c --> icit_c
ASPCT_num2,0.0330795,34791.89775,206.5642,168.4314017,0.000196397,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c
3OAS120_num2,0.0205452,9300.044909,85.2266,109.1213883,0.000188278,dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c
ALATA_L_reverse_num1,0.1005006,48870.10901,91.0347,536.8294618,0.000187211,glu__L_c + pyr_c --> akg_c + ala__L_c
KDOPS,0.0038912,2592,123.3308,21.01664791,0.000185148,ara5p_c + h2o_c + pep_c --> kdo8p_c + pi_c
G6PDH2r,1.836358483,558000,55.7044,10017.16202,0.000183321,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c
EAR161y,0.0150428,9387.626342,111.4558,84.227347,0.000178598,h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c
THRS,0.0544216,14400,47.1138,305.6429326,0.000178056,h2o_c + phom_c --> pi_c + thr__L_c
EAR100x,0.0205452,13324.87919,111.4558,119.5530353,0.00017185,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c
ADSL1r,0.0299304,36000,206.1712,174.612167,0.000171411,dcamp_c --> amp_c + fum_c
ADSL2r,0.0447794,54000,206.1712,261.9182505,0.000170967,25aics_c --> aicar_c + fum_c
PFL_num3,0.0988319,66265.40938,114.1398,580.5635666,0.000170234,coa_c + pyr_c --> accoa_c + for_c
OGMEACPR,2.00E-07,0.1224,102.2412,0.001197169,0.000167061,h_c + nadph_c + ogmeACP_c --> hgmeACP_c + nadp_c
OPMEACPR,2.00E-07,0.1224,102.2412,0.001197169,0.000167061,h_c + nadph_c + opmeACP_c --> hpmeACP_c + nadp_c
3OAR121,0.0150428,9300.02693,102.2412,90.96163709,0.000165375,3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c
3OAR141,0.0150428,9300.034418,102.2412,90.96171033,0.000165375,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c
3OAR161,0.0150428,9300.055921,102.2412,90.96192064,0.000165375,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c
GND,1.836358483,1170000,102.9626,11363.34941,0.000161604,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c
GF6PTA,0.0094488,7920,133.7887,59.19782463,0.000159614,f6p_c + gln__L_c --> gam6p_c + glu__L_c
XPPT,0.0243228,10439.90187,67.8824,153.7939417,0.000158152,prpp_c + xan_c --> ppi_c + xmp_c
EAR160y,0.0127628,9300.034724,111.4558,83.44146042,0.000152955,h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c
3HAD80_num1,0.035588,9300.030919,37.9381,245.136971,0.000145176,3hoctACP_c --> h2o_c + toct2eACP_c
3HAD100_num1,0.035588,9300.031517,37.9381,245.1369867,0.000145176,3hdecACP_c --> h2o_c + tdec2eACP_c
EAR120x,0.0205452,15973.78694,111.4558,143.3194768,0.000143352,h_c + nadh_c + tddec2eACP_c --> ddcaACP_c + nad_c
3OAR160,0.0127628,9300.030959,102.2412,90.9616765,0.00014031,3opalmACP_c + h_c + nadph_c --> 3hpalmACP_c + nadp_c
3OAS161,0.0150428,9300.049776,85.2266,109.1214454,0.000137854,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c
3OAS141,0.0150428,9300.05716,85.2266,109.121532,0.000137854,cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c
3OAS121,0.0150428,9300.067402,85.2266,109.1216522,0.000137853,cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c
AIRC3_reverse,0.0447794,46800,142.2426,329.0153583,0.000136101,5caiz_c --> 5aizc_c
GCALDD,4.46E-05,72,209.0912,0.344347347,0.00012952,gcald_c + h2o_c + nad_c --> glyclt_c + 2.0 h_c + nadh_c
PRFGS,0.0448017,50400,141.4027,356.4288376,0.000125696,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
EAR121x,0.0150428,14092.40007,111.4558,126.4393604,0.000118972,h_c + nadh_c + t3c5ddeceACP_c --> cddec5eACP_c + nad_c
GMPS,0.0243228,24356.93407,117.3584,207.5431675,0.000117194,atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c
DHDPS,0.0370949,39600,125.0799,316.5976308,0.000117167,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c
3OAS160_num1,0.0127628,9300.048851,85.2266,109.1214345,0.00011696,h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c
3OAS140_num1,0.0205452,15220.88429,85.2266,178.5931187,0.000115039,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c
EAR141x,0.0150428,14822.30279,111.4558,132.9881692,0.000113114,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c
KAS15,0.035588,22049.2422,67.0302,328.9448965,0.000108188,accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c
DHORTS_reverse,0.0330795,24480,77.6548,315.2412987,0.000104934,cbasp_c + h_c --> dhor__S_c + h2o_c
IPMD_num2,0.0450531,17640,40.3149,437.5553455,0.000102965,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
PGL,1.836358483,662400,36.3076,18244.11418,0.000100655,6pgl_c + h2o_c --> 6pgc_c + h_c
G1SAT,0.0003568,324,90.7322,3.570948351,9.99E-05,glu1sa_c --> 5aop_c
3HAD40_num1,0.035588,13622.60957,37.9381,359.0746392,9.91E-05,3haACP_c --> but2eACP_c + h2o_c
CTPS2,0.0160525,39600,241.4966,163.9774639,9.79E-05,atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c
VPAMTr,0.0423162,20916.2244,46.7112,447.7775009,9.45E-05,3mob_c + ala__L_c --> pyr_c + val__L_c
EAR140y,0.0127628,15246.01464,111.4558,136.7897825,9.33E-05,h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c
PRAIS,0.0448017,36000,73.7081,488.4130781,9.17E-05,atp_c + fpram_c --> adp_c + air_c + 2.0 h_c + pi_c
EAR40x,0.035588,44179.31434,111.4558,396.3841661,8.98E-05,but2eACP_c + h_c + nadh_c --> butACP_c + nad_c
ORPT_reverse,0.0330795,17956.83112,47.134,380.9740552,8.68E-05,orot_c + prpp_c --> orot5p_c + ppi_c
AICART,0.0542532,36000,57.3292,627.9522477,8.64E-05,10fthf_c + aicar_c --> fprica_c + thf_c
IMPC_reverse,0.0542532,36000,57.3292,627.9522477,8.64E-05,fprica_c --> h2o_c + imp_c
SADT2,0.0247482,102441.8063,350.9871,291.8677248,8.48E-05,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c
DHDPRy,0.0370949,50400,115.0264,438.1602832,8.47E-05,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c
NDPK1_num1,0.0790014,22045.90831,23.586,934.7031421,8.45E-05,atp_c + gdp_c --> adp_c + gtp_c
3HAD120_num2,0.0205452,9300.045229,37.9381,245.1373482,8.38E-05,3hddecACP_c --> h2o_c + tddec2eACP_c
CYSTL_num2,0.0153911,16792.14941,87.2837,192.3858568,8.00E-05,cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c
ATPPRT,0.0094738,7920,66.7334,118.6812001,7.98E-05,atp_c + prpp_c --> ppi_c + prbatp_c
G5SD,0.0221055,50400,178.5202,282.3209922,7.83E-05,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
HISTD,0.0094738,11160,92.2207,121.0140457,7.83E-05,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c
NADS1,0.0002278,180,61.2737,2.937638824,7.75E-05,atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c
TKT2_reverse_num2,0.155322028,149806.8491,73.0427,2050.948953,7.57E-05,f6p_c + g3p_c --> e4p_c + xu5p__D_c
ANS,0.0056843,17526.9833,228.7288,76.6277937,7.42E-05,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
LEUTAi_num2,0.0450531,54098.62261,87.0756,621.2833746,7.25E-05,4mop_c + glu__L_c --> akg_c + leu__L_c
THRD_L_num2,0.0290529,57035.45056,140.9296,404.7088089,7.18E-05,thr__L_c --> 2obut_c + nh4_c
IPPS,0.0450531,36000,57.2979,628.2952778,7.17E-05,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c
OCBT_num2,0.0295792,45832.3358,110.4814,414.8420983,7.13E-05,cbp_c + orn_c --> citr__L_c + h_c + pi_c
SHSL1,0.0153911,36000,166.2016,216.604413,7.11E-05,cys__L_c + suchms_c --> cyst__L_c + h_c + succ_c
TRPAS2_reverse,0.0056843,18000,211.0938,85.27015005,6.67E-05,indole_c + nh4_c + pyr_c --> h2o_c + trp__L_c
NTD11_num2,0.0243228,9325.752358,25.3988,367.1729514,6.62E-05,h2o_c + imp_c --> ins_c + pi_c
PPCDC,6.74E-05,540,521.2577,1.03595592,6.51E-05,4ppcys_c + h_c --> co2_c + pan4p_c
PPNCL2,6.74E-05,540,521.2577,1.03595592,6.51E-05,4ppan_c + ctp_c + cys__L_c --> 4ppcys_c + cmp_c + h_c + ppi_c
HSTPT,0.0094738,11880,78.7203,150.914059,6.28E-05,glu__L_c + imacp_c --> akg_c + hisp_c
AMPMS2,2.23E-05,25.2,70.8504,0.355679008,6.27E-05,air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c
ACHBS_num1,0.0290529,67064.87156,143.0927,468.6812923,6.20E-05,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
RPE_reverse,0.272532155,108366.9572,24.5542,4413.377638,6.18E-05,xu5p__D_c --> ru5p__D_c
SDPTA_reverse_num2,0.0370949,27000,44.7291,603.6338759,6.15E-05,glu__L_c + sl2a6o_c --> akg_c + sl26da_c
3HAD141_num1,0.0150428,9300.023712,37.9381,245.136781,6.14E-05,3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c
3HAD161_num1,0.0150428,9300.028072,37.9381,245.1368959,6.14E-05,3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c
3HAD121_num1,0.0150428,9300.039797,37.9381,245.137205,6.14E-05,3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c
T2DECAI,0.0150428,9300.050359,37.9381,245.1374834,6.14E-05,tdec2eACP_c --> cdec3eACP_c
GLUTRS,0.0003568,324,53.8157,6.020547907,5.93E-05,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
PANTS,6.74E-05,72,63.1953,1.139325235,5.92E-05,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c
PPBNGS,0.0001784,864,284.9983,3.031597031,5.88E-05,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c
ICYSDS,2.23E-05,36,90.179,0.399206024,5.59E-05,cys__L_c + iscs_c --> ala__L_c + iscssh_c
IGPDH,0.0094738,13680,80.5559,169.8199635,5.58E-05,eig3p_c --> h2o_c + imacp_c
HISTP,0.0094738,13680,80.5559,169.8199635,5.58E-05,h2o_c + hisp_c --> histd_c + pi_c
TRDR_num1,0.0247482,36024.44087,81.0527,444.4570122,5.57E-05,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c
OGMEACPS,2.00E-07,0.2448,67.0302,0.003652085,5.48E-05,h_c + malACP_c + malcoame_c --> co2_c + coa_c + ogmeACP_c
GHMT2r,2.146928166,3596400,90.6332,39680.82336,5.41E-05,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c
P5CR,0.0221055,115200,281.4488,409.310681,5.40E-05,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c
CBMKr,0.0626587,37048.79484,31.6441,1170.796289,5.35E-05,atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
ACGK,0.0295792,30240,54.3191,556.7102548,5.31E-05,acglu_c + atp_c --> acg5p_c + adp_c
3HAD160_num1,0.0127628,9300.049708,37.9381,245.1374662,5.21E-05,3hpalmACP_c --> h2o_c + tpalm2eACP_c
PHETA1_reverse_num2,0.0185265,31007.86386,87.0756,356.1027872,5.20E-05,glu__L_c + phpyr_c --> akg_c + phe__L_c
ACLS_num2,0.0874367,241177.3205,143.0927,1685.462085,5.19E-05,h_c + 2.0 pyr_c --> alac__S_c + co2_c
PAPSR_num2,0.0247482,32950.32997,67.7583,486.2921586,5.09E-05,paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c
METS_num2,2.144221866,3596400,84.6735,42473.73736,5.05E-05,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c
3HAD140_num1,0.0127628,9689.000825,37.9381,255.3897223,5.00E-05,3hmrsACP_c --> h2o_c + tmrs2eACP_c
TYRTA_reverse_num2,0.0138119,24103.01587,87.0756,276.8056249,4.99E-05,34hpp_c + glu__L_c --> akg_c + tyr__L_c
HXAND,0.0243228,64608.61918,129.7994,497.7574564,4.89E-05,h2o_c + hxan_c + nad_c --> h_c + nadh_c + xan_c
GLUPRT,0.0448017,219600,225.9522,971.8869743,4.61E-05,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
PPC,0.4003015,3596400,396.2504,9076.079166,4.41E-05,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c
ACOTA_reverse_num4,0.0295792,32625.37856,44.7291,729.3993968,4.06E-05,acg5sa_c + glu__L_c --> acorn_c + akg_c
CHORS,0.0381119,151200,156.5498,965.8268487,3.95E-05,3psme_c --> chor_c + pi_c
GLU5K,0.0221055,90000,156.2261,576.0881184,3.84E-05,atp_c + glu__L_c --> adp_c + glu5p_c
NDPK2_num1,0.0399117,24602.14215,23.586,1043.082428,3.83E-05,atp_c + udp_c --> adp_c + utp_c
HSST,0.0153911,28800,71.4546,403.0531274,3.82E-05,hom__L_c + succoa_c --> coa_c + suchms_c
3HAD60_num1,0.035588,35394.22481,37.9381,932.9466897,3.81E-05,3hhexACP_c --> h2o_c + thex2eACP_c
ARGSL,0.0295792,39600,50.3182,786.9915855,3.76E-05,argsuc_c --> arg__L_c + fum_c
MECDPS,0.0002389,324,50.6926,6.391465421,3.74E-05,2p4c2me_c --> 2mecdp_c + cmp_c
PPNDH,0.0185265,43200,86.2227,501.0281515,3.70E-05,h_c + pphn_c --> co2_c + h2o_c + phpyr_c
ANPRT,0.0056843,18000,113.7399,158.25581,3.59E-05,anth_c + prpp_c --> ppi_c + pran_c
CYSS_num1,0.0247482,47534.80306,65.3283,727.6295734,3.40E-05,acser_c + h2s_c --> ac_c + cys__L_c + h_c
PGI,11.1832458,41112000,123.0595,334082.2935,3.35E-05,g6p_c --> f6p_c
SERAT,0.0247482,136800,175.8998,777.7154948,3.18E-05,accoa_c + ser__L_c --> acser_c + coa_c
PGAMT_reverse,0.0094488,14400,47.5436,302.8798829,3.12E-05,gam6p_c --> gam1p_c
IPPMIa_reverse,0.0450531,106566.4071,72.3693,1472.536104,3.06E-05,2ippm_c + h2o_c --> 3c2hmp_c
5DOAN,2.25E-05,36,48.7079,0.739099817,3.04E-05,dad_5_c + h2o_c --> 5drib_c + ade_c
RBFSb,4.46E-05,108,70.3347,1.535515187,2.90E-05,2.0 dmlz_c --> 4r5au_c + ribflv_c
PRAGSr,0.0448017,72000,45.9404,1567.248,2.86E-05,atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c
TYRL,2.23E-05,21.6,26.8961,0.803090411,2.78E-05,amet_c + nadph_c + tyr__L_c --> 4crsol_c + dad_5_c + dhgly_c + h_c + met__L_c + nadp_c
GLNS,0.1566457,3596400,622.8451,5774.14834,2.71E-05,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
ACODA,0.0295792,93600,84.6947,1105.145895,2.68E-05,acorn_c + h2o_c --> ac_c + orn_c
RBK,0.0243228,59351.15383,64.581,919.018811,2.65E-05,atp_c + rib__D_c --> adp_c + h_c + r5p_c
IPPMIb_reverse,0.0450531,123242.3232,72.3693,1702.964146,2.65E-05,3c3hmp_c --> 2ippm_c + h2o_c
ASNS2_num1,0.0241055,68400,73.3011,933.137429,2.58E-05,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
NDPK3_num2,0.0181003,17317.19681,23.586,734.2150772,2.47E-05,atp_c + cdp_c --> adp_c + ctp_c
SHK3Dr,0.0381119,46104.63948,29.4136,1567.459933,2.43E-05,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c
UAGDP,0.0094488,57600,147.5702,390.3227074,2.42E-05,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
G1PACT,0.0094488,57600,147.5702,390.3227074,2.42E-05,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c
PSCVT,0.0381119,75600,46.0958,1640.062652,2.32E-05,pep_c + skm5p_c --> 3psme_c + pi_c
TRPS3,0.0056843,35739.90722,143.4143,249.2074167,2.28E-05,3ig3p_c --> g3p_c + indole_c
KARA2,0.0290529,281880,216.2761,1303.334025,2.23E-05,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
UMPK_num1,0.0378039,42025.02012,24.7463,1698.234488,2.23E-05,atp_c + ump_c --> adp_c + udp_c
CHORM_num2,0.0323384,123098.1309,84.085,1463.972539,2.21E-05,chor_c --> pphn_c
DAPDC,0.0343161,144000,92.3545,1559.209351,2.20E-05,26dap__M_c + h_c --> co2_c + lys__L_c
INSH,0.0243228,36111.155,32.5608,1109.037708,2.19E-05,h2o_c + ins_c --> hxan_c + rib__D_c
DDPA_num3,0.0381119,140719.9588,77.4701,1816.442199,2.10E-05,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
UAGAAT,0.0038912,17547.89693,92.8795,188.9318626,2.06E-05,3hmrsACP_c + uacgam_c --> ACP_c + u3aga_c
OMPDC,0.0330795,86400,52.7005,1639.453136,2.02E-05,h_c + orot5p_c --> co2_c + ump_c
HSDy_reverse_num1,0.0698127,638760.4157,177.7754,3593.075396,1.94E-05,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c
APG3PAT161,0.0075214,9694.949292,22.1934,436.8392987,1.72E-05,glyc3p_c + hdceap_c --> 1hdec9eg3p_c + h_c + pi_c
ASPK_num3,0.1069076,631361.1827,97.0635,6504.619993,1.64E-05,asp__L_c + atp_c --> 4pasp_c + adp_c
RNTR2c2_num3,0.0027017,30111.14447,179.7453,167.5211784,1.61E-05,2.0 flxr_c + gtp_c + 2.0 h_c --> dgtp_c + 2.0 flxso_c + h2o_c
IGPS,0.0056843,18000,49.4923,363.6929381,1.56E-05,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
PRAIi,0.0056843,18000,49.4923,363.6929381,1.56E-05,pran_c --> 2cpr5p_c
ACPPAT160,0.0063814,20129.32772,46.854,429.6181269,1.49E-05,h_c + palmACP_c + pi_c --> ACP_c + hdcap_c
IG3PS,0.0094738,32266.5357,50.1073,643.9487999,1.47E-05,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c
PPND,0.0138119,79200,84.085,941.9040257,1.47E-05,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
PSP_L,2.207158366,5331600,35.0427,152145.8107,1.45E-05,h2o_c + pser__L_c --> pi_c + ser__L_c
RNTR3c2_num1,0.0027017,34677.14107,179.7453,192.9237709,1.40E-05,ctp_c + 2.0 flxr_c + 2.0 h_c --> dctp_c + 2.0 flxso_c + h2o_c
ADSK,0.0247482,79200,44.6426,1774.090219,1.39E-05,aps_c + atp_c --> adp_c + h_c + paps_c
HSK,0.0544216,291600,67.2473,4336.233574,1.26E-05,atp_c + hom__L_c --> adp_c + h_c + phom_c
